run_id,best_eval_step,best_eval_loss,best_eval_perplexity,final_eval_step,final_eval_loss,final_eval_perplexity
2026-05-04_00-31-31_nvda_gpt2_nvda-tagged-structured-prompt,234,2.2749183177948,9.7271244471343,234,2.2749183177948,9.7271244471343
2026-05-05_10-41-34_nvda-amd-avgo_gpt2_nvda-amd-avgo,702,2.4100613594055176,11.134644339262202,702,2.4100613594055176,11.134644339262202
2026-05-12_09-20-01_nvda-amd_gpt2_nvda-amd-label-scoring,570,2.4288432598114014,11.345750401036602,570,2.4288432598114014,11.345750401036602
2026-05-03_12-41-00_nvda_gpt2_nvda-structured-prompt,234,2.625459671020508,13.810921207430015,234,2.625459671020508,13.810921207430015
2026-04-30_15-49-24_spy-qqq_gpt2_spy-qqq-baseline,531,2.6850297451019287,14.658637396441492,531,2.6850297451019287,14.658637396441492
gpt2-spy-20260430-150000,231,2.719048261642456,15.165881423025615,231,2.719048261642456,15.165881423025615
2026-05-04_18-09-40_nvda_gpt2_nvda-binary-direction-features,234,2.803347110748291,16.49978104384177,234,2.803347110748291,16.49978104384177
2026-05-04_09-09-04_nvda_gpt2_nvda-label-scoring,234,2.8074252605438232,16.567207015690222,234,2.8074252605438232,16.567207015690222
2026-05-03_01-12-20_nvda-amd_gpt2_nvda-ambd-gpt2,570,2.9596705436706543,19.29161496376451,570,2.9596705436706543,19.29161496376451
2026-05-02_13-05-30_nvda_gpt2_nvda-single,234,3.389401435852051,29.648200608209308,234,3.389401435852051,29.648200608209308
